Dte.;Barri;2013;2014;2015;2016
1;1. el Raval;571,8241;577,8528364;625,8214;667,0037911
1;2. el Barri Gí_tic;715,559;749,990873;786,0439;868,9481911
1;3. la Barceloneta;559,5539;563,0821731;602,619;667,3402662
1;4. Sant Pere, Santa Caterina i la Ribera;659,1596;685,1428004;723,4489;807,2592014
2;5. el Fort Pienc;718,312;723,3286484;768,1235;823,4505402
2;6. la Sagrada Famí_lia;664,2997;680,6806023;713,1482;775,990936
2;7. la Dreta de l'Eixample;913,8097;945,8823636;1012,5102;1138,075177
2;8. l'Antiga Esquerra de l'Eixample;817,9463;843,8570322;911,1438;979,2042031
2;9. la Nova Esquerra de l'Eixample;730,0981;732,1343255;783,8356;870,4811948
2;10. Sant Antoni;710,3541;711,3695708;765,609;842,473
3;11. el Poble Sec - AEI Parc Montjuí¿c;581,3248;582,6003697;612,1455;669,5252087
3;12. la Marina del Prat Vermell - AEI Zona Franca;n.d.;n.d.;404,7119;356,563
3;13. la Marina de Port;560,9975;527,2791837;542,2658;544,3789211
3;14. la Font de la Guatlla;662,8855;644,6410646;695,1985;737,1529278
3;15. Hostafrancs;579,7948;593,9064417;624,6484;687,8516322
3;16. la Bordeta;618,5649;611,3691129;638,4582;678,8623881
3;17. Sants - Badal;599,0447;597,2822823;626,5668;691,1666995
3;18. Sants;617,907;624,1176341;653,3033;711,3225299
4;19. les Corts;787,8887;782,8847779;856,3435;939,0963751
4;20. la Maternitat i Sant Ramon;718,0376;760,2579641;756,616;847,8822587
4;21. Pedralbes;1362,896;1473,833869;1729,9507;1661,826455
5;22. Vallvidrera, el Tibidabo i les Planes;925,6;1134,251136;1006,5333;1153,380758
5;23. Sarriíæ;974,8907;1041,152074;1109,6624;1187,492393
5;24. les Tres Torres;1260,268;1323,888026;1385,0352;1515,002727
5;25. Sant Gervasi - la Bonanova;915,4488;942,5591855;1046,4413;1125,320578
5;26. Sant Gervasi - Galvany;1009,898;1047,420552;1156,2648;1241,816989
5;27. el Putxet i el Farrí_;729,8574;760,3452452;799,6912;876,6369124
6;28. Vallcarca i els Penitents;660,7513;665,4803299;735,7593;787,7015251
6;29. el Coll;557,1014;555,8691379;557,0031;620,0309091
6;30. la Salut;578,2491;668,5056913;705,2071;773,4389
6;31. la Vila de Gríæcia;673,3238;681,7123291;733,1205;799,635445
6;32. el Camp d'en Grassot i Gríæcia Nova;667,467;683,3249306;725,4017;803,4930897
7;33. el Baix Guinardí_;614,7963;620,9744093;642,6368;701,9935796
7;34. Can Barí_;538,085;542,7197183;553,9651;636,7536232
7;35. el Guinardí_;582,919;581,3937364;612,8952;666,4422272
7;36. la Font d'en Fargues;680,1056;712,4144086;723,5364;717,4112195
7;37. el Carmel;492,6682;494,9974254;510,9756;554,9463785
7;38. la Teixonera;503,7387;486,438595;519,6792;578,6259164
7;39. Sant Gení_s dels Agudells;543,4619;553,8882353;551,1986;609,3003049
7;40. Montbau;575,8688;552,54;630,3692;644,2553191
7;41. la Vall d'Hebron;704,384;699,3877551;696,2903;767,3642857
7;42. la Clota;n.d.;480;350,2508;538,748
7;43. Horta;584,1288;567,2433333;579,8995;630,6075446
8;44. Vilapicina i la Torre Llobeta;577,0111;568,2330045;586,6255;638,5304889
8;45. Porta;548,9249;529,5460845;555,0417;603,5893047
8;46. el Turí_ de la Peira;480,8085;473,1572937;504,3443;552,1874667
8;47. Can Peguera;324,8188;221,1345455;211,3545;253,1033333
8;48. la Guineueta;620,3478;614,5638397;562,8057;623,3563485
8;49. Canyelles;587,2574;536,4102564;563,9629;625,6126316
8;50. les Roquetes;451,247;450,7590809;463,7288;489,5453788
8;51. Verdun;507,6199;487,8771552;470,3987;533,3325862
8;52. la Prosperitat;518,7834;504,8563747;530,2575;562,3038266
8;53. la Trinitat Nova;437,5041;434,4228226;448,318;431,1033621
8;54. Torre Barí_;396,0429;334,4575;404,9238;412,6013793
8;55. Ciutat Meridiana;403,4893;372,8463699;396,4313;402,6346721
8;56. Vallbona;n.d.;281,70875;415,0842;469,73125
9;57. la Trinitat Vella;457,7763;422,9084337;441,4759;479,2873457
9;58. Barí_ de Viver;244,0253;241,1460714;287,3904;216,4122222
9;59. el Bon Pastor;505,959;496,5816352;537,285;540,409434
9;60. Sant Andreu;576,7066;576,5961561;613,3408;658,6002393
9;61. la Sagrera;643,4456;607,0366181;636,6046;665,5900561
9;62. el Congrí©s i els Indians;584,9377;583,6716197;610,9423;649,6660759
9;63. Navas;630,4668;623,7837931;672,0169;714,0982574
10;64. el Camp de l'Arpa del Clot;609,3648;598,8184325;644,0061;697,985677
10;65. el Clot;624,2076;624,8444062;651,5979;695,5451048
10;66. el Parc i la Llacuna del Poblenou;687,8676;693,7176721;748,8468;823,601521
10;67. la Vila Olí_mpica del Poblenou;926,7103;1003,237908;1104,4784;1184,043699
10;68. el Poblenou;670,4424;654,3478873;735,0407;794,1109178
10;69. Diagonal Mar i el Front Marí_tim del Poblenou;914,0982;892,0334066;1059,7525;1124,803264
10;70. el Besí_s i el Maresme;510,7991;477,0597983;506,7127;541,2450199
10;71. Provení_als del Poblenou;594,3216;639,5526557;661,3788;839,8025414
10;72. Sant Martí_ de Provení_als;638,087;633,7751105;673,9204;700,7487533
10;73. la Verneda i la Pau;576,1651;565,4674763;610,7191;605,5592079
