Dte.;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000
1;739,2322591;675,7432;639,1097631;618,6695989;644,1452034;663,0184923;678,7898241;715,6755064;729,5869728;660,9569614;597,5975604;539,2881261;469,8563702;443,1504516;412,0531833;350,9249161;325,191895
2;917,2738016;831,4381;776,9125319;763,5268188;800,4475976;821,8094213;833,4628428;862,8537777;891,6376755;831,100538;750,7286647;703,0551282;635,3561163;595,4840516;564,6640624;515,1926847;436,3817708
3;678,780231;624,5228;598,4327104;596,4172655;633,0762936;671,5988551;671,9083611;698,8613803;725,9387002;668,8480967;620,9256029;558,7279837;498,7942644;453,7414029;437,037606;381,9285679;336,5556242
4;985,9395994;925,4458;853,0015559;826,7089697;867,3554136;891,4545337;908,9365423;933,7197145;990,5826176;955,4292463;829,1531525;742,427019;705,0817302;667,7120922;621,4756298;627,004134;567,7321352
5;1144,714707;1051,2329;978,0216076;935,4735354;984,4358269;1017,114365;998,6143325;1029,299876;1081,906972;1014,244848;917,6613176;863,5708228;823,762259;762,153759;742,9375494;659,9213285;631,1879851
6;787,8632527;721,6543;673,8620134;659,2457086;706,600804;737,0526745;738,7269418;762,2838053;792,0687466;741,5934248;668,7087228;620,9501229;548,9619224;507,3866707;495,727556;425,715813;370,8561976
7;640,1547949;586,8461;563,7646913;566,510878;605,9197664;636,7302714;652,1097073;689,6816139;718,3601053;660,2914963;629,9971429;552,0904661;501,2357131;463,8770806;421,2141595;390,4950256;334,5211887
8;561,0694261;518,7996;499,3110614;513,8204509;551,6863727;609,4270101;621,4629239;653,2752524;676,5102096;632,1307752;582,1281762;513,4849256;472,7154464;438,4277675;426,9712545;369,3698933;330,9945278
9;644,9080123;610,9954;575,1606003;578,501785;626,8252541;658,3704602;672,7344634;707,2339709;723,90388;675,821076;601,7221109;569,4025914;508,3495434;462,2526254;431,4420828;385,0425804;339,4942513
10;771,4093792;700,5647;640,8130374;637,3891633;673,6015591;705,3873781;727,5044313;738,2563314;770,162601;730,6151334;682,0566245;605,9312505;531,9114228;484,7596144;467,7149255;398,1173367;341,6500211
