Dte.;Barri;2014;2015;2016
1;1. el Raval;10,47;11,1045;12,26365993
1;2. el Barri GÃ_tic;10,54;11,2094;13,04266053
1;3. la Barceloneta;15,15;16,3294;18,17697756
1;4. Sant Pere, Santa Caterina i la Ribera;11,24;12,6979;14,08973091
2;5. el Fort Pienc;9,98;10,8908;11,7575944
2;6. la Sagrada FamÃ_lia;10,46;11,1051;12,19930058
2;7. la Dreta de l'Eixample;10,06;11,2916;12,85718569
2;8. l'Antiga Esquerra de l'Eixample;10,48;11,3658;12,7261311
2;9. la Nova Esquerra de l'Eixample;10,42;11,2679;12,374658
2;10. Sant Antoni;10,01;10,9577;12,08189107
3;11. el Poble Sec - AEI Parc MontjuÃ¯c;10,19;11,0933;12,27904554
3;12. la Marina del Prat Vermell - AEI Zona Franca;n.d.;6,6071;5,872399167
3;13. la Marina de Port;7,99;8,3625;8,866678255
3;14. la Font de la Guatlla;10,62;11,3287;12,04571467
3;15. Hostafrancs;10,27;11,1196;12,15549685
3;16. la Bordeta;9,31;9,8429;10,81896477
3;17. Sants - Badal;9,94;10,7392;11,74564218
3;18. Sants;10,07;10,992;11,8899014
4;19. les Corts;11,07;11,8488;13,0438272
4;20. la Maternitat i Sant Ramon;10,38;11,4229;12,90777968
4;21. Pedralbes;12,33;14,1453;14,64964017
5;22. Vallvidrera, el Tibidabo i les Planes;10,6;12,1003;15,08012238
5;23. SarriÃ ;13,59;14,5361;15,93577525
5;24. les Tres Torres;13,52;13,9673;15,64418698
5;25. Sant Gervasi - la Bonanova;11,55;12,8241;14,21909036
5;26. Sant Gervasi - Galvany;11,69;12,7318;13,77720817
5;27. el Putxet i el FarrÃ_;11,01;12,3254;13,72766781
6;28. Vallcarca i els Penitents;10,26;11,5532;12,65328068
6;29. el Coll;9,52;9,8996;11,22777508
6;30. la Salut;9,97;11,2769;12,1143116
6;31. la Vila de GrÃ cia;11,25;12,305;13,49783394
6;32. el Camp d'en Grassot i GrÃ cia Nova;10,36;11,3303;12,4814437
7;33. el Baix GuinardÃ_;9,56;10,5654;11,43479149
7;34. Can BarÃ_;9,42;10,0925;11,49500997
7;35. el GuinardÃ_;9,18;10,3596;11,14157965
7;36. la Font d'en Fargues;9,26;11,373;11,89289611
7;37. el Carmel;8,63;9,1085;9,821304589
7;38. la Teixonera;8,35;9,509;10,1810739
7;39. Sant GenÃ_s dels Agudells;7,75;8,3222;8,729450675
7;40. Montbau;9,27;10,0705;10,29396972
7;41. la Vall d'Hebron;9,95;10,0733;11,23305457
7;42. la Clota;10,45;7,9685;12,3219798
7;43. Horta;8,94;9,5169;10,60475325
8;44. Vilapicina i la Torre Llobeta;8,8;9,321;10,48983657
8;45. Porta;8,64;9,1018;10,04632273
8;46. el TurÃ_ de la Peira;7,81;8,3371;9,45347113
8;47. Can Peguera;5,29;5,7937;8,071465711
8;48. la Guineueta;8,21;8,1706;8,784614277
8;49. Canyelles;6,98;7,2142;8,039330148
8;50. les Roquetes;8,33;8,7248;9,360139362
8;51. Verdun;9,22;9,1444;10,09842685
8;52. la Prosperitat;8,9;9,6347;10,2979151
8;53. la Trinitat Nova;8,54;8,787;8,597078545
8;54. Torre BarÃ_;5,92;6,0594;7,3934873
8;55. Ciutat Meridiana;6,38;6,6154;6,970532496
8;56. Vallbona;4,25;6,657;7,901908628
9;57. la Trinitat Vella;6,98;8,0063;8,509226672
9;58. BarÃ_ de Viver;3,92;4,7787;3,516845571
9;59. el Bon Pastor;8,05;8,8203;8,711187605
9;60. Sant Andreu;9,19;10,0344;10,89883083
9;61. la Sagrera;9,05;9,734;10,49439563
9;62. el CongrÃ©s i els Indians;9,24;9,4546;10,39427891
9;63. Navas;8,91;9,7254;10,80602479
10;64. el Camp de l'Arpa del Clot;9,74;10,6257;11,70948355
10;65. el Clot;9,63;10,3108;11,19309198
10;66. el Parc i la Llacuna del Poblenou;10,24;11,4877;12,78780117
10;67. la Vila OlÃ_mpica del Poblenou;13,18;14,2878;16,20879053
10;68. el Poblenou;10,57;11,7336;12,78948276
10;69. Diagonal Mar i el Front MarÃ_tim del Poblenou;11,18;12,4914;13,87234935
10;70. el BesÃ_s i el Maresme;7,74;8,3818;8,771495643
10;71. ProvenÃ§als del Poblenou;9,67;9,9554;11,78381707
10;72. Sant MartÃ_ de ProvenÃ§als;8,88;9,4005;9,965651332
10;73. la Verneda i la Pau;8,32;9,0998;9,112667914
