Dte.;Barri;2009 Total;2009 Homes;2009 Dones;2010 Total;2010 Homes;2010 Dones;2011 Total;2011 Homes;2011 Dones;2012 Total;2012 Homes;2012 Dones;2013 Total;2013 Homes;2013 Dones;2014 Total;2014 Homes;2014 Dones;2015 Total;2015 Homes;2015 Dones
1;1;39;15;24;33;12;21;39;21;18;30;18;12;27;10;17;37;15;22;36;19;17  
1;2;49;29;20;36;20;16;45;18;27;51;26;25;43;28;15;39;17;22;57;34;23  
1;3;58;27;31;56;29;27;46;18;28;51;28;23;42;22;20;43;25;18;26;15;11  
1;4;62;33;29;65;43;22;54;36;18;48;31;17;37;19;18;53;38;15;45;26;19  
1;5;50;22;28;49;22;27;39;23;16;45;23;22;45;21;24;43;23;20;37;18;19  
1;6;53;24;29;60;32;28;45;21;24;60;23;37;51;28;23;50;26;24;62;37;25  
1;7;73;33;40;55;27;28;51;29;22;58;36;22;62;22;40;41;19;22;60;28;32  
1;8;23;10;13;14;5;9;14;4;10;12;3;9;15;8;7;17;10;7;8;7;1  
1;9;45;24;21;47;22;25;35;16;19;35;21;14;38;20;18;26;16;10;37;16;21  
1;10;42;16;26;45;13;32;43;20;23;41;24;17;46;26;20;44;28;16;34;20;14  
1;11;24;15;9;23;14;9;29;12;17;20;12;8;24;10;14;20;12;8;21;14;7  
1;12;61;31;30;52;26;26;37;16;21;36;18;18;39;19;20;47;29;18;50;20;30  
1;13;34;15;19;40;23;17;53;28;25;45;28;17;53;26;27;44;26;18;32;16;16  
1;14;26;15;11;34;17;17;23;13;10;33;19;14;29;14;15;24;9;15;36;19;17  
1;15;98;50;48;114;43;71;89;42;47;116;43;73;114;48;66;105;45;60;120;54;66  
1;16;51;21;30;53;24;29;44;20;24;66;31;35;60;28;32;49;24;25;44;25;19  
1;17;52;26;26;53;25;28;49;31;18;48;23;25;46;19;27;56;33;23;49;23;26  
1;18;36;14;22;52;25;27;47;27;20;37;14;23;44;17;27;46;26;20;45;24;21  
1;19;38;16;22;55;22;33;48;26;22;45;26;19;32;10;22;43;22;21;31;19;12  
2;20;144;58;86;159;84;75;147;68;79;156;77;79;156;70;86;142;54;88;156;68;88  
2;21;41;21;20;41;21;20;38;13;25;50;20;30;42;21;21;50;19;31;38;21;17  
2;22;118;57;61;92;43;49;98;52;46;124;55;69;126;52;74;100;33;67;114;44;70  
2;23;49;24;25;29;17;12;37;19;18;46;22;24;53;28;25;41;18;23;53;21;32  
2;24;149;67;82;155;64;91;157;65;92;135;50;85;138;59;79;149;56;93;141;54;87  
2;25;116;58;58;101;43;58;79;36;43;96;49;47;113;57;56;102;57;45;113;56;57  
2;26;161;71;90;128;54;74;149;72;77;137;69;68;151;72;79;134;55;79;122;59;63  
2;27;116;48;68;103;45;58;112;47;65;117;45;72;112;45;67;109;54;55;110;44;66  
2;28;93;29;64;118;50;68;97;37;60;107;45;62;95;34;61;102;45;57;105;40;65  
2;29;69;21;48;88;35;53;77;34;43;97;36;61;94;36;58;74;32;42;89;31;58  
2;30;59;30;29;63;29;34;60;27;33;53;23;30;64;29;35;63;26;37;59;28;31  
2;31;59;23;36;54;26;28;54;16;38;43;18;25;49;15;34;45;11;34;45;20;25  
2;32;55;16;39;74;20;54;67;24;43;74;29;45;75;26;49;67;23;44;63;25;38  
2;33;19;7;12;26;6;20;14;3;11;33;10;23;24;4;20;20;5;15;20;3;17  
2;34;55;12;43;52;12;40;57;23;34;48;16;32;67;22;45;41;14;27;44;16;28  
2;35;61;16;45;57;16;41;58;17;41;59;26;33;40;14;26;51;24;27;42;14;28  
2;36;46;22;24;23;13;10;37;13;24;39;14;25;33;13;20;26;8;18;28;8;20  
2;37;69;37;32;75;21;54;52;27;25;58;24;34;74;36;38;60;26;34;56;27;29  
2;38;55;20;35;54;25;29;60;21;39;55;28;27;42;13;29;40;13;27;48;24;24  
2;39;29;9;20;32;18;14;30;12;18;35;11;24;39;19;20;34;13;21;32;18;14  
2;40;74;25;49;91;43;48;83;28;55;84;33;51;70;35;35;65;29;36;89;35;54  
2;41;81;39;42;83;39;44;57;27;30;100;36;64;96;45;51;74;31;43;87;26;61  
2;42;74;38;36;62;36;26;65;35;30;69;32;37;40;22;18;69;32;37;61;32;29  
2;43;62;26;36;71;21;50;65;31;34;80;40;40;68;32;36;64;35;29;63;28;35  
2;44;97;39;58;75;35;40;76;30;46;84;30;54;67;36;31;90;43;47;106;45;61  
2;45;105;53;52;85;45;40;95;41;54;80;38;42;83;38;45;102;49;53;116;50;66  
2;46;54;28;26;62;36;26;71;30;41;79;45;34;67;32;35;67;35;32;91;49;42  
2;47;70;31;39;78;40;38;69;32;37;82;49;33;66;33;33;63;26;37;80;37;43  
2;48;89;45;44;76;34;42;74;35;39;75;35;40;81;36;45;72;36;36;76;37;39  
2;49;62;29;33;68;40;28;49;23;26;68;31;37;50;25;25;60;32;28;51;21;30  
2;50;78;34;44;71;33;38;85;44;41;75;23;52;74;32;42;61;24;37;71;35;36  
2;51;121;52;69;100;56;44;124;55;69;123;65;58;104;48;56;122;59;63;95;37;58  
2;52;82;37;45;85;42;43;74;31;43;85;39;46;83;41;42;90;42;48;83;33;50  
2;53;60;26;34;60;27;33;44;20;24;52;27;25;63;32;31;45;17;28;49;18;31  
2;54;73;36;37;65;23;42;51;19;32;63;30;33;62;34;28;63;31;32;54;19;35  
2;55;82;44;38;92;37;55;85;46;39;92;38;54;78;39;39;83;38;45;80;35;45  
3;56;142;81;61;131;66;65;127;72;55;129;65;64;134;62;72;118;56;62;121;56;65  
3;57;131;64;67;123;54;69;134;49;85;115;54;61;120;67;53;121;62;59;131;58;73  
3;58;84;42;42;67;44;23;62;27;35;84;43;41;72;37;35;73;30;43;72;38;34  
3;59;24;13;11;28;19;9;23;10;13;36;20;16;23;14;9;33;14;19;34;14;20  
3;60;17;7;10;17;7;10;19;8;11;16;7;9;19;13;6;13;5;8;16;6;10  
3;61;63;35;28;56;32;24;63;32;31;73;46;27;66;42;24;78;43;35;72;34;38  
3;62;44;18;26;62;28;34;55;33;22;68;37;31;73;37;36;78;33;45;64;26;38  
3;63;58;30;28;74;39;35;76;42;34;72;44;28;83;49;34;67;38;29;84;46;38  
3;64;28;16;12;29;14;15;41;19;22;39;20;19;37;14;23;30;14;16;33;18;15  
3;65;75;35;40;103;47;56;102;46;56;126;47;79;123;59;64;115;45;70;123;55;68  
3;66;59;27;32;57;32;25;64;36;28;70;39;31;54;26;28;58;32;26;60;24;36  
3;67;82;35;47;66;31;35;80;39;41;83;42;41;76;40;36;82;44;38;82;39;43  
3;68;86;45;41;79;27;52;93;37;56;95;44;51;89;42;47;86;38;48;97;36;61  
3;69;80;43;37;77;35;42;90;46;44;94;48;46;76;41;35;83;44;39;92;52;40  
3;70;147;77;70;136;68;68;131;65;66;149;73;76;154;82;72;119;61;58;151;70;81  
