Dte.;Barri;2007 Total;2007 Homes;2007 Dones;2008 Total;2008 Homes;2008 Dones;2009 Total;2009 Homes;2009 Dones;2010 Total;2010 Homes;2010 Dones;2011 Total;2011 Homes;2011 Dones;2012 Total;2012 Homes;2012 Dones;2013 Total;2013 Homes;2013 Dones;2014 Total;2014 Homes;2014 Dones;2015 Total;2015 Homes;2015 Dones
1;1. el Raval;420;237;183;375;204;171;407;193;214;368;190;178;333;170;163;355;188;167;322;158;164;323;173;150;331;184;147  
1;2. el Barri Gòtic;194;108;86;179;94;85;172;86;86;167;75;92;144;64;80;132;75;57;147;75;72;137;85;52;142;70;72  
1;3. la Barceloneta;191;105;86;199;90;109;158;80;78;188;83;105;165;83;82;194;90;104;196;88;108;173;80;93;188;89;99  
1;4. Sant Pere, Santa Caterina i la Ribera;203;96;107;214;107;107;177;77;100;213;96;117;188;104;84;196;94;102;182;74;108;194;105;89;169;91;78  
2;5. el Fort Pienc;322;131;191;283;124;159;303;136;167;292;148;144;283;133;150;330;152;178;324;143;181;292;106;186;308;133;175  
2;6. la Sagrada Família;583;255;328;573;257;316;591;268;323;516;223;293;534;239;295;531;235;296;567;261;306;535;240;295;539;234;305  
2;7. la Dreta de l'Eixample;572;238;334;566;232;334;516;176;340;555;207;348;521;194;327;553;217;336;541;193;348;489;188;301;495;185;310  
2;8. l'Antiga Esquerra de l'Eixample;457;210;247;431;180;251;445;194;251;468;203;265;412;181;231;481;204;277;429;202;227;406;179;227;436;190;246  
2;9. la Nova Esquerra de l'Eixample;532;237;295;587;264;323;554;259;295;515;263;252;519;235;284;543;251;292;488;232;256;515;245;270;591;274;317  
2;10. Sant Antoni;390;204;186;435;182;253;418;195;223;402;185;217;378;171;207;415;199;216;390;194;196;403;187;216;361;142;219  
3;11. el Poble Sec - AEI Parc Montjuïc;429;214;215;383;181;202;381;200;181;349;183;166;346;158;188;364;182;182;348;180;168;345;162;183;358;166;192  
3;12. la Marina del Prat Vermell - AEI Zona Franca;23;16;7;15;8;7;17;7;10;17;7;10;19;8;11;16;7;9;18;12;6;13;5;8;16;6;10  
3;13. la Marina de Port;210;126;84;249;124;125;193;99;94;221;113;108;235;126;109;252;147;105;259;142;117;253;128;125;253;124;129  
3;14. la Font de la Guatlla;102;49;53;89;45;44;75;35;40;103;47;56;102;46;56;126;47;79;123;59;64;115;45;70;123;55;68  
3;15. Hostafrancs;165;77;88;130;72;58;141;62;79;123;63;60;144;75;69;153;81;72;130;66;64;140;76;64;142;63;79  
3;16. la Bordeta;164;71;93;149;69;80;166;88;78;156;62;94;183;83;100;189;92;97;165;83;82;169;82;87;189;88;101  
3;17. Sants - Badal;202;82;120;205;94;111;219;109;110;194;91;103;185;93;92;211;104;107;202;101;101;172;88;84;218;105;113  
3;18. Sants;404;205;199;355;156;199;395;173;222;383;191;192;389;171;218;390;185;205;402;163;239;369;176;193;391;188;203  
4;19. les Corts;429;205;224;475;224;251;450;221;229;453;216;237;431;204;227;448;213;235;419;214;205;422;185;237;467;193;274  
4;20. la Maternitat i Sant Ramon;189;92;97;193;88;105;178;94;84;197;102;95;179;89;90;191;94;97;194;94;100;209;116;93;211;96;115  
4;21. Pedralbes;93;43;50;111;51;60;74;32;42;101;50;51;88;44;44;105;52;53;96;48;48;107;44;63;91;52;39  
