Dte.;AEB;2009 Total;2009 Nens;2009 Nenes;2010 Total;2010 Nens;2010 Nenes;2011 Total;2011 Nens;2011 Nenes;2012 Total;2012 Nens;2012 Nenes;2013 Total;2013 Nens;2013 Nenes;2014 Total;2014 Nens;2014 Nenes;2015 Total;2015 Nens;2015 Nenes
1;1;30;11;19;36;19;17;33;16;17;31;13;18;21;13;8;29;16;13;23;12;11  
1;2;77;45;32;65;34;31;61;31;30;49;27;22;67;34;33;54;31;23;56;32;24  
1;3;68;35;33;59;28;31;57;25;32;68;33;35;59;27;32;43;28;15;45;23;22  
1;4;83;46;37;92;48;44;93;47;46;85;52;33;74;40;34;86;32;54;102;53;49  
1;5;67;33;34;73;32;41;76;36;40;80;41;39;71;37;34;70;44;26;65;32;33  
1;6;123;69;54;92;41;51;102;52;50;96;53;43;73;37;36;80;37;43;76;39;37  
1;7;44;23;21;47;25;22;48;28;20;61;26;35;46;19;27;47;20;27;49;24;25  
1;8;21;7;14;7;4;3;7;4;3;12;3;9;12;3;9;17;14;3;15;9;6  
1;9;23;11;12;21;9;12;24;13;11;23;11;12;14;8;6;20;8;12;16;8;8  
1;10;36;15;21;43;18;25;31;17;14;24;17;7;22;12;10;32;13;19;33;17;16  
1;11;26;14;12;29;15;14;17;9;8;19;9;10;25;14;11;21;9;12;26;11;15  
1;12;28;16;12;45;24;21;35;11;24;21;13;8;33;15;18;24;6;18;25;12;13  
1;13;30;13;17;41;22;19;26;11;15;27;14;13;17;9;8;21;7;14;19;11;8  
1;14;17;10;7;17;11;6;18;8;10;19;11;8;14;9;5;11;5;6;13;6;7  
1;15;73;45;28;79;40;39;75;33;42;55;30;25;74;33;41;57;31;26;67;36;31  
1;16;58;38;20;53;24;29;63;35;28;49;22;27;46;27;19;48;24;24;51;27;24  
1;17;53;30;23;50;28;22;56;32;24;38;17;21;39;24;15;51;34;17;51;25;26  
1;18;53;24;29;48;28;20;55;33;22;44;23;21;43;20;23;35;16;19;33;19;14  
1;19;42;20;22;44;25;19;39;14;25;45;17;28;41;22;19;33;20;13;31;19;12  
