Dte.;AEB;2010;2011;2012;2013;2014;2015;2016
1;1;2.807;2.913;2.985;2.929;2.882;2.851;2.849  
1;2;6.173;6.071;6.233;6.276;6.163;6.125;6.168  
1;3;6.371;6.411;6.611;6.395;6.113;6.065;6.070  
1;4;7.687;7.776;8.070;8.368;8.084;7.943;8.078  
1;5;6.554;6.800;6.970;6.794;6.716;6.614;6.522  
1;6;9.230;9.252;9.446;9.355;9.127;9.136;9.025  
1;7;6.385;6.438;6.645;6.553;6.411;6.416;6.433  
1;8;2.044;2.039;2.067;2.130;1.993;1.992;1.984  
1;9;4.762;4.197;3.787;3.642;3.196;3.134;3.138  
1;10;6.000;5.847;5.347;5.001;5.028;4.999;5.190  
1;11;3.486;3.448;3.461;3.334;3.310;3.301;3.251  
1;12;4.282;4.195;4.313;4.290;4.200;4.050;4.035  
1;13;4.361;4.248;4.232;4.163;4.036;3.932;3.898  
1;14;2.639;2.602;2.575;2.541;2.493;2.510;2.496  
1;15;9.099;8.916;8.922;8.799;8.575;8.590;8.627  
1;16;6.472;6.300;6.531;6.623;6.484;6.486;6.436  
1;17;5.523;5.502;5.601;5.567;5.457;5.495;5.434  
1;18;5.890;5.930;5.982;5.910;5.805;5.837;5.860  
1;19;4.742;4.678;4.664;4.669;4.612;4.639;4.576  
2;20;15.581;15.376;15.208;14.714;14.685;14.830;14.806  
2;21;5.023;5.010;5.050;5.001;4.984;4.937;4.974  
2;22;12.026;11.998;12.038;12.023;11.825;11.776;11.873  
2;23;5.099;5.007;5.052;4.961;4.941;4.919;4.917  
2;24;12.254;12.131;12.229;12.157;12.018;12.048;12.050  
2;25;11.009;11.128;11.226;11.099;11.070;11.032;11.102  
2;26;12.277;12.288;12.223;12.296;12.161;12.124;12.204  
2;27;11.528;11.455;11.379;11.293;11.109;10.974;11.049  
2;28;9.122;9.163;9.291;9.267;9.296;9.367;9.344  
2;29;7.341;7.320;7.445;7.431;7.305;7.313;7.260  
2;30;6.623;6.573;6.596;6.629;6.644;6.574;6.522  
2;31;4.330;4.293;4.193;4.187;4.251;4.291;4.192  
2;32;5.564;5.559;5.565;5.620;5.676;5.725;5.824  
2;33;1.486;1.429;1.473;1.425;1.428;1.485;1.517  
2;34;2.643;2.599;2.677;2.701;2.636;2.622;2.680  
2;35;3.455;3.477;3.547;3.519;3.496;3.539;3.615  
2;36;2.531;2.497;2.568;2.605;2.608;2.640;2.690  
2;37;6.272;6.249;6.330;6.313;6.351;6.332;6.321  
2;38;5.231;5.267;5.242;5.250;5.197;5.212;5.255  
2;39;3.639;3.622;3.652;3.654;3.561;3.549;3.663  
2;40;7.209;7.120;7.127;7.168;7.111;7.170;7.026  
2;41;6.596;6.511;6.544;6.507;6.632;6.524;6.513  
2;42;6.333;6.306;6.417;6.375;6.312;6.273;6.319  
2;43;6.467;6.391;6.473;6.506;6.553;6.604;6.757  
2;44;8.309;8.356;8.512;8.547;8.562;8.617;8.687  
2;45;11.075;11.043;11.064;11.106;11.052;11.006;11.012  
2;46;8.499;8.389;8.365;8.337;8.225;8.270;8.327  
2;47;9.111;8.938;9.023;8.886;8.852;8.759;8.743  
2;48;8.213;8.259;8.192;8.188;8.123;8.204;8.142  
2;49;6.038;5.951;5.969;5.982;6.024;6.051;6.020  
2;50;6.768;6.770;6.786;6.773;6.781;6.758;6.717  
2;51;10.889;10.862;11.010;10.946;11.001;10.933;10.926  
2;52;7.914;7.947;8.021;8.020;8.048;7.943;7.965  
2;53;4.803;4.736;4.782;4.792;4.763;4.812;4.886  
2;54;6.361;6.336;6.374;6.412;6.399;6.427;6.453  
2;55;8.166;8.121;8.185;8.090;7.885;7.918;7.954  
3;56;13.839;13.924;13.989;13.798;13.600;13.754;13.751  
3;57;15.673;15.829;16.125;15.953;15.551;15.512;15.274  
3;58;7.072;6.962;7.068;7.125;7.019;6.964;6.989  
3;59;3.756;3.832;4.076;4.108;4.108;3.978;4.041  
3;60;1.139;1.124;1.153;1.172;1.144;1.125;1.143  
3;61;7.619;7.663;7.731;7.768;7.766;7.878;7.972  
3;62;8.501;8.537;8.585;8.500;8.472;8.393;8.466  
3;63;10.651;10.657;10.631;10.523;10.433;10.556;10.517  
3;64;3.330;3.386;3.511;3.480;3.376;3.405;3.430  
3;65;10.281;10.223;10.285;10.313;10.309;10.366;10.302  
3;66;6.558;6.479;6.574;6.497;6.392;6.434;6.452  
3;67;9.381;9.366;9.470;9.463;9.274;9.313;9.437  
3;68;6.504;6.547;6.584;6.560;6.524;6.457;6.506  
3;69;12.142;11.952;12.030;12.017;11.874;11.921;12.006  
3;70;16.385;16.469;16.657;16.509;16.348;16.263;16.243  
3;71;7.958;7.891;7.954;7.842;7.780;7.751;7.663  
3;72;12.032;11.883;11.992;11.934;11.931;11.885;11.824  
3;73;8.694;8.655;8.695;8.611;8.429;8.410;8.402  
3;74;6.839;6.790;6.242;5.822;5.792;5.717;5.769  
3;75;2.472;2.454;2.444;2.433;2.395;2.413;2.421  
3;76;12.088;12.194;12.276;12.257;12.307;12.262;12.369  
4;77;11.271;11.233;11.258;11.129;11.042;11.094;11.130  
4;78;9.359;9.253;9.153;9.115;9.073;9.042;9.047  
4;79;6.629;6.628;6.707;6.658;6.584;6.645;6.643  
4;80;1.576;1.563;1.525;1.499;1.525;1.525;1.554  
4;81;2.068;2.103;2.106;2.135;2.166;2.162;2.158  
4;82;3.685;3.666;3.758;3.744;3.782;3.765;3.706  
4;83;5.693;5.633;4.949;4.428;4.353;4.377;4.325  
4;84;7.154;7.094;7.419;7.475;7.459;7.390;7.369  
4;85;10.853;10.795;10.964;11.005;10.863;10.949;10.961  
4;86;8.931;8.802;8.794;8.684;8.695;8.772;8.833  
4;87;3.999;4.025;4.022;3.978;4.006;4.096;4.054  
4;88;5.777;5.738;5.804;5.795;5.707;5.804;5.821  
4;89;2.510;2.571;2.598;2.625;2.614;2.642;2.700  
4;90;3.378;3.332;3.363;3.370;3.331;3.267;3.341  
5;91;1.411;1.439;1.511;1.524;1.552;1.633;1.690  
5;92;2.863;2.860;2.899;2.913;2.962;2.969;2.942  
5;93;2.141;2.182;2.189;2.237;2.244;2.199;2.266  
5;94;1.763;1.770;1.831;1.798;1.776;1.779;1.772  
5;95;10.465;10.598;10.832;10.853;10.986;11.105;11.138  
5;96;9.388;9.396;9.454;9.562;9.517;9.558;9.623  
5;97;2.292;2.289;2.360;2.370;2.379;2.359;2.430  
5;98;4.981;4.962;4.992;5.013;5.045;5.115;5.126  
5;99;8.468;8.519;8.584;8.601;8.737;9.024;8.917  
5;100;3.116;3.120;3.175;3.229;3.256;3.338;3.416  
5;101;2.449;2.463;2.467;2.478;2.491;2.539;2.571  
5;102;9.731;9.755;9.787;9.748;10.021;10.165;10.356  
5;103;9.010;8.992;9.124;9.152;9.158;9.204;9.322  
5;104;6.201;6.195;6.206;6.181;6.276;6.401;6.491  
5;105;4.082;4.051;4.090;4.105;3.990;3.940;3.955  
5;106;7.160;7.124;7.167;7.133;7.181;7.194;7.272  
5;107;7.904;7.821;7.837;7.914;7.870;7.846;7.823  
5;108;5.641;5.677;5.698;5.655;5.660;5.653;5.712  
5;109;7.742;7.711;7.797;7.855;7.868;8.007;7.976  
5;110;7.575;7.638;7.616;7.643;7.621;7.667;7.860  
5;111;12.595;12.380;12.060;11.571;11.513;11.444;11.506  
5;112;8.220;8.176;8.303;8.318;8.282;8.288;8.338  
5;113;9.339;9.436;9.412;9.413;9.376;9.407;9.524  
6;114;6.337;6.363;6.352;6.230;6.162;6.200;6.213  
6;115;4.519;4.503;4.590;4.704;4.721;4.754;4.795  
6;116;2.236;2.188;2.209;2.183;2.200;2.221;2.230  
6;117;2.367;2.363;2.348;2.336;2.330;2.317;2.353  
6;118;7.240;7.303;7.308;7.232;7.203;7.349;7.391  
6;119;5.363;5.243;5.289;5.266;5.236;5.304;5.269  
6;120;7.958;7.911;7.923;7.944;7.930;7.923;7.849  
6;121;6.285;6.265;6.273;6.186;6.122;6.128;6.174  
6;122;4.926;4.883;4.875;4.911;4.932;4.971;4.977  
6;123;4.125;4.119;4.201;4.181;4.141;4.138;4.182  
6;124;4.869;4.819;4.835;4.903;4.964;5.015;5.076  
6;125;2.671;2.634;2.681;2.708;2.638;2.670;2.698  
6;126;7.158;6.344;5.945;5.468;5.443;5.532;5.643  
6;127;3.577;3.584;3.660;3.682;3.707;3.649;3.680  
6;128;4.737;4.686;4.736;4.724;4.759;4.687;4.688  
6;129;7.877;7.840;7.860;7.751;7.715;7.644;7.551  
6;130;6.086;6.054;6.081;6.101;6.027;5.981;5.915  
6;131;10.489;10.526;10.609;10.496;10.330;10.188;10.320  
6;132;7.553;7.495;7.606;7.523;7.499;7.515;7.563  
6;133;6.248;6.162;6.205;6.162;6.074;6.047;6.073  
6;134;10.369;10.255;10.340;10.258;10.140;10.168;10.278  
7;135;10.961;11.031;11.037;10.983;10.830;10.755;10.763  
7;136;6.555;6.544;6.538;6.413;6.419;6.400;6.417  
7;137;8.506;8.447;8.343;8.245;8.278;8.311;8.367  
7;138;9.119;8.928;9.005;8.969;8.859;8.819;8.965  
7;139;6.055;6.040;6.005;6.010;5.978;5.980;6.093  
7;140;11.481;11.513;11.426;11.486;11.478;11.678;11.835  
7;141;4.295;4.383;4.446;4.398;4.341;4.391;4.352  
7;142;7.020;6.993;7.045;7.081;7.061;7.053;7.110  
7;143;6.804;6.758;6.742;6.704;6.676;6.671;6.746  
7;144;4.330;4.280;4.316;4.342;4.298;4.246;4.223  
7;145;5.258;5.250;5.253;5.148;5.142;5.161;5.177  
7;146;3.271;3.234;3.224;3.152;3.132;3.121;3.108  
7;147;15.049;14.921;14.821;14.707;14.625;14.540;14.416  
7;148;14.029;13.953;13.967;13.930;13.902;13.795;13.831  
7;149;11.821;11.796;11.776;11.654;11.435;11.361;11.277  
7;150;7.159;7.035;6.985;6.935;6.884;6.754;6.725  
7;151;5.256;5.211;5.144;5.111;5.047;5.046;5.053  
7;152;5.611;5.580;5.569;5.494;5.490;5.468;5.686  
7;153;453;462;452;438;521;542;583  
7;154;11.567;11.421;11.403;11.415;11.325;11.239;11.244  
