Dte.;Barri;2010;2011;2012;2013;2014;2015;2016
1;1. el Raval;47.251;47.700;49.027;48.800;47.489;47.142;47.129
1;2. el Barri Gòtic;18.530;17.687;16.908;16.267;15.734;15.484;15.614
1;3. la Barceloneta;16.099;15.766;15.729;15.503;15.104;15.032;15.021
1;4. Sant Pere, Santa Caterina i la Ribera; 22.627;22.410;22.778;22.769;22.358;22.457;22.306
2;5. el Fort Pienc; 32.630;32.384;32.296;31.738;31.494;31.543;31.653
2;6. la Sagrada Família;52.167;52.009;52.109;51.806;51.299;51.097;51.322
2;7. la Dreta de l'Eixample; 43.095;42.910;43.355;43.384;43.340;43.556;43.644
2;8. l'Antiga Esquerra de l'Eixample;41.747;41.466;41.785;41.773;41.717;41.664;41.854
2;9. la Nova Esquerra de l'Eixample;58.013;57.706;57.911;57.819;57.619;57.665;57.648
2;10. Sant Antoni;38.133;38.002;38.372;38.260;38.096;38.033;38.184
3;11. el Poble Sec - AEI Parc Montjuïc;40.340;40.547;41.258;40.984;40.278;40.208;40.055
3;12. la Marina del Prat Vermell - AEI Zona Franca;1.139; 1.124; 1.153;1.172; 1.144; 1.125; 1.143
3;13. la Marina de Port;30.101;30.243;30.458;30.271;30.047;30.232;30.385
3;14. la Font de la Guatlla; 10.281;10.223;10.285;10.313;10.309;10.366;10.302
3;15. Hostafrancs;15.939;15.845;16.044;15.960;15.666;15.747;15.889
3;16. la Bordeta;18.646;18.499;18.614;18.577;18.398;18.378;18.512
3;17. Sants - Badal;24.343;24.360;24.611;24.351;24.128;24.014;23.906
3;18. Sants;42.125;41.976;41.649;41.057;40.854;40.687;40.785
4;19. les Corts;47.435;47.173;46.875;46.183;45.984;46.000;45.932
4;20. la Maternitat i Sant Ramon;23.783;23.622;23.780;23.667;23.564;23.817;23.848
4;21. Pedralbes;11.665;11.641;11.765;11.790;11.652;11.713;11.862
5;22. Vallvidrera, el Tibidabo i les Planes;4.274; 4.299; 4.410;4.437; 4.514;4.602;4.632
5;23. Sarrià;23.757;23.946;24.306;24.450;24.523;24.641;24.799
5;24. les Tres Torres;15.741;15.770;15.936;15.984;16.161;16.498;16.473
5;25. Sant Gervasi - la Bonanova;24.306;24.330;24.553;24.607;24.926;25.246;25.665
5;26. Sant Gervasi - Galvany;46.305;46.217;46.411;46.486;46.466;46.708;47.089
5;27. el Putxet i el Farró;30.154;29.992;29.775;29.302;29.171;29.139;29.368
6;28. Vallcarca i els Penitents;15.459;15.417;15.499;15.453;15.413;15.492;15.591
6;29. el Coll;7.240;7.303; 7.308; 7.232;7.203; 7.349; 7.391
6;30. la Salut;13.321;13.154;13.212;13.210;13.166;13.227;13.118
6;31. la Vila de Gràcia;52.311;51.228;51.147;50.615;50.448;50.415;50.584
6;32. el Camp d'en Grassot i Gràcia Nova;34.659;34.438;34.760;34.439;34.043;33.918;34.234
7;33. el Baix Guinardó;26.022;26.022;25.918;25.641;25.527;25.466;25.547
7;34. Can Baró;9.119;8.928;9.005; 8.969; 8.859;8.819; 8.965
7;35. el Guinardó;35.655;35.687;35.664;35.679;35.534;35.773;36.136
7;36. la Font d'en Fargues;9.588;9.530; 9.569; 9.490;9.440; 9.407;9.400
7;37. el Carmel; 32.349;32.108;32.012;31.789;31.659;31.456;31.355
7;38. la Teixonera;11.821;11.796;11.776;11.654;11.435;11.361;11.277
7;39. Sant Genís dels Agudells;7.159;7.035; 6.985; 6.935;6.884; 6.754; 6.725
7;40. Montbau; 5.256;5.211;5.144; 5.111; 5.047;5.046; 5.053
7;41. la Vall d'Hebron;5.611;5.580; 5.569; 5.494;5.490; 5.468;5.686
7;42. la Clota;453;462; 452; 438;521; 542; 583
7;43. Horta;27.762;27.537;27.013;26.543;26.554;26.467;26.541
8;44. Vilapicina i la Torre Llobeta;25.620;25.429;25.540;25.543;25.336;25.451;25.508
8;45. Porta; 23.771;23.780;24.222;24.193;24.224;24.240;24.519
8;46. el Turó de la Peira;16.683;16.726;16.184;15.593;15.466;15.389;15.364
8;47. Can Peguera;2.215;2.240;2.239; 2.230; 2.262;2.275; 2.258
8;48. la Guineueta;15.296;15.268;15.185;15.117;15.056;15.099;15.043
8;49. Canyelles;7.310;7.240; 7.197; 7.102;6.981; 6.953; 6.923
8;50. les Roquetes;15.964;15.987;16.042;15.768;15.564;15.398;15.398
8;51. Verdun;12.300;12.308;12.453;12.329;12.122;12.225;12.260
8;52. la Prosperitat;26.575;26.566;26.471;26.299;26.089;25.979;26.167
8;53. la Trinitat Nova;7.871;7.704; 7.627; 7.551;7.388; 7.332; 7.257
8;54. Torre Baró;2.167;2.172; 2.173; 2.192;2.547; 2.727; 2.791
8;55. Ciutat Meridiana;10.843;10.874;10.748;10.485;10.171;10.245;10.041
8;56. Vallbona;1.334;1.343; 1.338; 1.346;1.310; 1.335; 1.352
9;57. la Trinitat Vella;10.241;10.385;10.387;10.423;10.241;10.059;10.032
9;58. Baró de Viver;2.393;2.414; 2.412; 2.415;2.481; 2.482; 2.507
9;59. el Bon Pastor;13.730;13.597;13.203;12.800;12.670;12.554;12.589
9;60. Sant Andreu;55.835;56.103;56.297;56.476;56.269;56.503;56.683
9;61. la Sagrera;28.879;29.138;29.110;28.911;28.660;28.887;28.796
9;62. el Congrés i els Indians;13.956;14.011;14.129;14.010;13.921;14.043;14.044
9;63. Navas; 21.810;21.722;21.915;21.811;21.741;21.966;22.080
10;64. el Camp de l'Arpa del Clot;38.338;37.969;38.186;37.933;37.795;38.178;38.104
10;65. el Clot; 27.495; 27.379;27.325;27.169;27.035;26.933;26.898
10;66. el Parc i la Llacuna del Poblenou;13.468;13.736;14.043;14.355;14.613;14.708;14.838
10;67. la Vila Olímpica del Poblenou;9.240; 9.252; 9.249;9.319; 9.364; 9.326; 9.335
10;68. el Poblenou; 31.377;32.089;32.552;32.838;33.011;33.437;33.586
10;69. Diagonal Mar i el Front Marítim del Poblenou;11.262;12.008;12.522;12.894;13.156;13.369;13.397
10;70. el Besòs i el Maresme;23.749; 23.948;23.725;23.118;22.829;22.834;22.746
10;71. Provençals del Poblenou;19.580;19.560;19.887;20.052;20.096;20.161;20.369
10;72. Sant Martí de Provençals;26.164;26.164;26.151;25.994;25.917;25.975;26.010
10;73. la Verneda i la Pau;29.460;29.053;29.245;29.154;28.813;28.738;28.645 
