Visualitzador estad’stic
Ajuntament de Barcelona

Dades extretes: 24/05/2017
Tipus territori;Cod. territori;Territori;% de poblaci— sense estudis 2009 ;% de poblaci— sense estudis 2010 ;% de poblaci— sense estudis 2011 ;% de poblaci— sense estudis 2012 ;% de poblaci— sense estudis 2013 ;% de poblaci— sense estudis 2014 ;% de poblaci— sense estudis 2015 ;% de poblaci— sense estudis 2016 ;% de poblaci— amb estudis obligatoris 2009 ;% de poblaci— amb estudis obligatoris 2010 ;% de poblaci— amb estudis obligatoris 2011 ;% de poblaci— amb estudis obligatoris 2012 ;% de poblaci— amb estudis obligatoris 2013 ;% de poblaci— amb estudis obligatoris 2014 ;% de poblaci— amb estudis obligatoris 2015 ;% de poblaci— amb estudis obligatoris 2016 ;% de poblaci— amb batxillerat superior, CFGM 2009 ;% de poblaci— amb batxillerat superior, CFGM 2010 ;% de poblaci— amb batxillerat superior, CFGM 2011 ;% de poblaci— amb batxillerat superior, CFGM 2012 ;% de poblaci— amb batxillerat superior, CFGM 2013 ;% de poblaci— amb batxillerat superior, CFGM 2014 ;% de poblaci— amb batxillerat superior, CFGM 2015 ;% de poblaci— amb batxillerat superior, CFGM 2016 ;% de poblaci— amb estudis universitaris i CFGS 2009 ;% de poblaci— amb estudis universitaris i CFGS 2010 ;% de poblaci— amb estudis universitaris i CFGS 2011 ;% de poblaci— amb estudis universitaris i CFGS 2012 ;% de poblaci— amb estudis universitaris i CFGS 2013 ;% de poblaci— amb estudis universitaris i CFGS 2014 ;% de poblaci— amb estudis universitaris i CFGS 2015 ;% de poblaci— amb estudis universitaris i CFGS 2016 
Barris;08019B01;1. el Raval;10,5;10,2;9,4;8,5;7,9;7,3;3,2;2,5;54,6;54,2;54,7;54,6;54,2;54,1;57,4;55,1;17,1;16,9;16,9;17,1;17,4;17,5;17,5;18,0;17,7;18,7;19,0;19,7;20,4;21,1;21,9;22,7
Barris;08019B02;2. el Barri G˜tic;8,2;8,3;7,4;6,6;6,0;5,4;2,8;2,3;44,2;41,4;40,4;38,6;36,2;34,7;36,2;34,9;21,8;21,5;22,0;22,7;23,4;23,5;23,2;23,9;25,8;28,7;30,2;32,2;34,4;36,4;37,8;38,1
Barris;08019B03;3. la Barceloneta;15,5;14,5;13,4;11,9;10,9;10,3;5,8;4,7;49,3;48,3;48,6;48,1;47,5;46,6;49,4;48,1;18,0;18,1;18,2;18,8;19,6;19,8;19,8;20,5;17,2;19,0;19,8;21,1;21,9;23,2;24,9;25,6
Barris;08019B04;4. Sant Pere, Santa Caterina i la Ribera;10,5;10,1;8,8;7,7;7,2;6,6;3,3;2,5;40,0;38,5;38,2;36,9;35,9;35,4;37,6;35,9;21,2;21,2;21,0;21,6;21,8;21,6;21,7;22,6;28,2;30,2;31,9;33,7;35,1;36,4;37,4;37,7
Barris;08019B05;5. el Fort Pienc;8,9;8,6;6,6;5,4;4,9;4,4;3,1;1,9;36,7;36,1;36,5;34,7;33,0;32,8;33,5;32,5;26,2;25,7;26,0;27,4;27,9;27,5;26,9;27,2;28,2;29,4;30,9;32,5;34,1;35,2;36,4;37,0
Barris;08019B06;6. la Sagrada Fam’lia;10,0;9,5;7,1;5,9;5,5;4,9;3,6;2,5;38,1;37,7;38,3;36,9;35,8;35,5;35,9;34,9;25,5;24,9;25,4;26,5;26,9;26,7;26,3;26,4;26,3;27,8;29,2;30,6;31,8;32,9;34,1;35,0
Barris;08019B07;7. la Dreta de l'Eixample;7,4;7,3;5,0;4,0;3,7;3,2;2,4;1,3;26,0;25,2;25,7;23,9;22,6;22,3;22,5;21,6;26,1;25,7;25,9;27,2;26,9;26,1;25,9;26,2;40,4;41,8;43,3;44,9;46,8;48,3;49,2;49,5
Barris;08019B08;8. l'Antiga Esquerra de l'Eixample;7,6;7,3;5,2;4,3;4,0;3,5;2,6;1,6;29,3;28,5;28,6;27,1;25,7;25,2;25,2;24,5;26,8;26,3;26,4;27,3;27,3;27,0;26,8;27,3;36,2;37,8;39,7;41,3;42,9;44,2;45,4;45,4
Barris;08019B09;9. la Nova Esquerra de l'Eixample;9,0;8,6;6,1;4,9;4,6;3,9;2,7;1,7;33,6;32,9;33,6;32,0;30,6;30,2;30,9;29,7;26,6;26,2;26,6;27,9;28,0;27,7;27,3;27,3;30,7;32,2;33,7;35,1;36,8;38,1;39,1;40,1
Barris;08019B10;10. Sant Antoni;9,8;9,3;7,3;6,2;5,8;5,3;3,6;2,5;39,0;38,7;39,2;38,1;36,9;36,5;37,2;36,2;25,4;24,8;25,0;26,0;26,1;25,8;25,7;26,0;25,8;27,1;28,4;29,6;31,2;32,4;33,4;34,0
