neighbourhood;pop0;pop1;pop2;pop3;pop4;pop5;pop6;nat_pop0;nat_pop1;nat_pop2;nat_pop3;nat_pop4;nat_pop5;nat_pop6;clustering_pop
year;2010.0;2011.0;2012.0;2013.0;2014.0;2015.0;2016.0;2010.0;2011.0;2012.0;2013.0;2014.0;2015.0;2016.0;-1
1. el Raval;47251.0;47700.0;49027.0;48800.0;47489.0;47142.0;47129.0;47251.0;47355.0;47499.0;47626.0;47727.0;47830.0;47930.0;1
10. Sant Antoni;38133.0;38002.0;38372.0;38260.0;38096.0;38033.0;38184.0;38133.0;38010.0;37925.0;37790.0;37691.0;37582.0;37554.0;1
11. el Poble Sec - AEI Parc Montjuïc;40340.0;40547.0;41258.0;40984.0;40278.0;40208.0;40055.0;40340.0;40404.0;40458.0;40433.0;40430.0;40443.0;40440.0;1
12. la Marina del Prat Vermell - AEI Zona Franca;1139.0;1124.0;1153.0;1172.0;1144.0;1125.0;1143.0;1139.0;1133.0;1119.0;1114.0;1106.0;1105.0;1102.0;1
13. la Marina de Port;30101.0;30243.0;30458.0;30271.0;30047.0;30232.0;30385.0;30101.0;30181.0;30221.0;30230.0;30220.0;30199.0;30190.0;1
14. la Font de la Guatlla;10281.0;10223.0;10285.0;10313.0;10309.0;10366.0;10302.0;10281.0;10260.0;10229.0;10164.0;10123.0;10081.0;10021.0;1
15. Hostafrancs;15939.0;15845.0;16044.0;15960.0;15666.0;15747.0;15889.0;15939.0;15965.0;15943.0;15920.0;15945.0;15961.0;15925.0;1
16. la Bordeta;18646.0;18499.0;18614.0;18577.0;18398.0;18378.0;18512.0;18646.0;18642.0;18629.0;18591.0;18539.0;18517.0;18496.0;1
17. Sants - Badal;24343.0;24360.0;24611.0;24351.0;24128.0;24014.0;23906.0;24343.0;24340.0;24347.0;24329.0;24313.0;24322.0;24287.0;1
18. Sants;42125.0;41976.0;41649.0;41057.0;40854.0;40687.0;40785.0;42125.0;42050.0;42001.0;41963.0;41895.0;41881.0;41835.0;0
19. les Corts;47435.0;47173.0;46875.0;46183.0;45984.0;46000.0;45932.0;47435.0;47370.0;47312.0;47225.0;47157.0;47074.0;46993.0;0
2. el Barri Gòtic;18530.0;17687.0;16908.0;16267.0;15734.0;15484.0;15614.0;18530.0;18500.0;18464.0;18419.0;18366.0;18326.0;18284.0;5
20. la Maternitat i Sant Ramon;23783.0;23622.0;23780.0;23667.0;23564.0;23817.0;23848.0;23783.0;23751.0;23753.0;23740.0;23719.0;23694.0;23681.0;1
21. Pedralbes;11665.0;11641.0;11765.0;11790.0;11652.0;11713.0;11862.0;11665.0;11648.0;11639.0;11608.0;11577.0;11549.0;11535.0;1
22. Vallvidrera, el Tibidabo i les Planes;4274.0;4299.0;4410.0;4437.0;4514.0;4602.0;4632.0;4274.0;4264.0;4254.0;4233.0;4240.0;4229.0;4224.0;4
23. Sarrià;23757.0;23946.0;24306.0;24450.0;24523.0;24641.0;24799.0;23757.0;23790.0;23754.0;23767.0;23786.0;23815.0;23782.0;3
24. les Tres Torres;15741.0;15770.0;15936.0;15984.0;16161.0;16498.0;16473.0;15741.0;15767.0;15812.0;15858.0;15887.0;15903.0;15909.0;3
25. Sant Gervasi - la Bonanova;24306.0;24330.0;24553.0;24607.0;24926.0;25246.0;25665.0;24306.0;24276.0;24275.0;24269.0;24225.0;24194.0;24151.0;3
26. Sant Gervasi - Galvany;46305.0;46217.0;46411.0;46486.0;46466.0;46708.0;47089.0;46305.0;46261.0;46217.0;46129.0;46077.0;46030.0;45975.0;1
27. el Putxet i el Farró;30154.0;29992.0;29775.0;29302.0;29171.0;29139.0;29368.0;30154.0;30195.0;30233.0;30225.0;30258.0;30243.0;30285.0;0
28. Vallcarca i els Penitents;15459.0;15417.0;15499.0;15453.0;15413.0;15492.0;15591.0;15459.0;15464.0;15447.0;15463.0;15432.0;15410.0;15406.0;1
29. el Coll;7240.0;7303.0;7308.0;7232.0;7203.0;7349.0;7391.0;7240.0;7266.0;7285.0;7288.0;7294.0;7327.0;7326.0;1
3. la Barceloneta;16099.0;15766.0;15729.0;15503.0;15104.0;15032.0;15021.0;16099.0;16048.0;16002.0;15909.0;15818.0;15734.0;15645.0;0
30. la Salut;13321.0;13154.0;13212.0;13210.0;13166.0;13227.0;13118.0;13321.0;13280.0;13291.0;13284.0;13243.0;13210.0;13146.0;1
31. la Vila de Gràcia;52311.0;51228.0;51147.0;50615.0;50448.0;50415.0;50584.0;52311.0;52265.0;52260.0;52196.0;52164.0;52129.0;52078.0;0
32. el Camp d'en Grassot i Gràcia Nova;34659.0;34438.0;34760.0;34439.0;34043.0;33918.0;34234.0;34659.0;34649.0;34647.0;34586.0;34505.0;34436.0;34371.0;1
33. el Baix Guinardó;26022.0;26022.0;25918.0;25641.0;25527.0;25466.0;25547.0;26022.0;25968.0;25834.0;25686.0;25542.0;25407.0;25285.0;1
34. Can Baró;9119.0;8928.0;9005.0;8969.0;8859.0;8819.0;8965.0;9119.0;9131.0;9110.0;9095.0;9088.0;9069.0;9040.0;0
35. el Guinardó;35655.0;35687.0;35664.0;35679.0;35534.0;35773.0;36136.0;35655.0;35655.0;35595.0;35572.0;35557.0;35522.0;35482.0;1
36. la Font d'en Fargues;9588.0;9530.0;9569.0;9490.0;9440.0;9407.0;9400.0;9588.0;9572.0;9553.0;9511.0;9486.0;9463.0;9442.0;1
